I_imag,I_real,p_pred,q_pred
172.76,468.27,477.42048991352317,173.46635306358337
171.54,461.83,461.69250030234457,168.27809394240379
171.6,463.77,461.0928157237172,168.89727611124513
171.74,465.21,461.89707484722135,169.02066145926713
170.89,461.86,459.6870988214016,168.6443342810869
170.43,461.46,460.2784977191686,168.79593774378299
169.31,463.11,460.7782353565097,169.41656496822833
175.65,467.0,467.8729235985875,172.6949503186345
174.65,466.06,470.8502058422565,174.42583704262972
178.52,484.69,479.09457260370255,178.34684389084578
179.26,511.82,500.2005494132638,183.82470928490162
183.18,531.85,513.5963470077514,187.49280504882336
197.72,565.41,525.3299379569291,191.2557166647911
211.48,596.78,540.1074776148796,195.05340185284615
210.21,597.68,541.3540519988537,195.09009484529494
215.68,608.91,545.9886286836862,196.83784787178038
216.95,609.31,537.5994398272037,193.3632533985376
216.28,604.52,509.8820700111985,181.71538929104804
214.49,589.15,514.9096171659231,183.46106477558612
202.49,545.17,512.2009410446882,182.29119343817234
192.54,514.89,508.9721340185404,181.341361464262
181.15,493.94,504.7972118541598,179.9387900558114
181.08,491.65,498.9762440788746,178.36978469759225
176.42,482.18,481.0081574860215,172.9577813363075
177.11,478.83,473.1487305027246,171.20784535348415
174.75,468.5,459.59567496463654,167.16325111299753
173.0,466.73,458.98369229018687,167.77398036539554
172.84,464.09,459.88778404951097,167.95059558838605
170.16,459.14,455.86304754436014,166.47241570830343
175.25,446.92,456.27355657607313,166.60737028568983
172.06,451.13,456.94105946719645,167.2662453648448
171.27,463.08,459.61086879894134,168.30233485996723
172.12,467.49,460.9021073111892,168.96097934514285
173.41,478.03,465.01374527990816,170.95589837163686
176.2,498.15,481.240502397418,173.8783630129695
179.08,510.44,489.30489373654126,175.61785857886076
180.57,521.35,495.9822849607467,177.5738511455059
182.21,525.9,509.5870095005631,181.73423211336134
180.65,526.21,512.818167116046,182.83980945706367
181.86,528.0,512.9535516828298,182.62362650334833
183.29,532.46,511.3962774556875,182.1040345799923
182.13,520.56,512.30847024858,182.74590719640253
179.01,504.02,512.4831993430853,182.43053808569908
175.26,488.86,509.7818153244257,181.26152324020862
176.52,480.38,504.1192925110459,179.28030369222162
171.52,472.43,497.5321850198507,176.84863308042287
172.35,467.38,491.7011642253399,175.27863287389278
167.5,454.56,473.83625736683604,169.87694035768507
167.74,453.64,468.9063681131601,168.93982399463653
166.29,443.99,455.39639694318174,164.92116828262806
165.81,447.13,454.7708529509604,165.5247996327281
164.97,443.4,455.79323328256606,165.76995397478342
164.12,439.01,455.86304754436014,166.47241570830343
161.43,439.91,456.27355657607313,166.60737028568983
161.65,441.44,455.0051527789235,166.16357130914926
164.29,449.65,457.6313970734179,167.20146382957697
165.75,454.58,462.84082181066276,170.056999117434
166.33,465.21,467.0176959607005,172.01422151863574
170.0,486.42,485.50461799651384,176.11927091211078
175.69,502.83,503.0625472667813,181.99044178962706
174.78,509.53,514.8841768723726,185.84261304080485
176.3,516.03,528.7121018862724,189.94981244862078
179.22,521.91,534.4269883269071,192.09163521289824
179.22,523.38,536.9592705971003,192.90302734613417
180.01,524.15,530.564272493124,190.32388859033583
179.6,518.64,526.7048510015011,188.91285108864307
178.46,505.71,526.9261463844775,188.60213338792323
177.53,495.77,524.2671550393104,187.4372428804636
173.0,478.56,521.0451359993219,186.48807853102682
168.18,470.41,509.57847469240426,181.99267745316027
165.82,459.14,498.9762440788746,178.36978469759225
161.58,445.16,483.3987947669625,173.9847305253148
160.75,440.85,471.02754930794237,170.0738390663266
159.72,433.22,451.4748372414708,162.68391914129256
157.81,431.41,448.91428341925143,162.15541530966757
157.54,427.98,449.5383062694967,162.3619418659806
155.18,424.99,444.1244007764757,159.78161390408872
155.18,424.81,444.5158325189352,159.92748765543104
155.25,427.03,445.2797916382551,160.57045065194367
156.96,431.24,449.8936233463883,162.76708670318126
157.22,434.74,453.1472405205667,164.57690464824438
160.88,452.34,467.0176959607005,172.01422151863574
164.57,475.24,487.6352953377366,177.23671176701782
174.37,507.95,507.32389022558925,184.22533228397367
178.7,525.62,514.8841768723726,185.84261304080485
179.68,527.25,531.1027391672134,190.9767506569624
181.48,534.64,529.6457020413875,190.03774122714995
182.76,533.7,534.5686567634343,191.87608035326002
181.79,528.62,530.564272493124,190.32388859033583
177.67,516.76,524.31421372056,187.88589970350264
178.39,509.69,524.5355091035366,187.5751863950491
175.93,496.06,519.4802062368393,185.38277790009974
175.18,483.65,513.8249462169408,183.40240605950356
169.53,477.82,507.18783741146325,180.9657348525524
168.07,466.96,501.36689894527194,179.39673388659952
163.27,451.25,481.0081574860215,172.9577813363075
163.42,447.23,473.1487305027246,171.20784535348415
161.32,437.25,457.49857119053604,166.04776920884848
161.96,438.33,454.7708529509604,165.5247996327281
160.12,432.7,455.79323328256606,165.76995397478342
161.52,437.71,451.9912370987237,164.26706759691237
164.87,454.02,452.4017373377085,164.40202656656504
167.68,461.02,453.06924609065055,165.06090603798626
162.67,455.62,457.6313970734179,167.20146382957697
162.66,454.36,460.9021073111892,168.96097934514285
166.22,469.45,471.02557387501,174.13084585130213
166.56,466.23,491.8966500201821,179.4716044574976
172.34,485.1,505.19321874618527,183.10788703680038
171.78,483.26,514.8841768723726,185.84261304080485
175.89,489.92,531.1027391672134,190.9767506569624
174.64,491.53,539.0936174368858,194.10665764212607
190.66,534.77,539.3428150773047,193.92786165893077
190.0,529.08,537.5994398272037,193.3632533985376
189.59,523.9,533.8767511206865,191.9936920672655
191.21,521.44,526.9261463844775,188.60213338792323
192.62,521.75,521.876529482007,186.4102871030569
189.87,508.05,516.2513640397787,184.4329327493906
181.3,486.72,511.96910611152646,183.0196288383007
178.38,476.5,501.36689894527194,179.39673388659952
175.44,463.67,481.0081574860215,172.9577813363075
